copybook_id,coverage_part,coverage_name,state,kind,path
GPCAM001,PR,Premises and Operations Liability,CA,ERROR-MSG,copybooks/PR/gpcam001.cpy
GPCOP001,PR,Premises and Operations Liability,CO,POLICY-RECORD,copybooks/PR/gpcop001.cpy
GPCOY001,PR,Premises and Operations Liability,CO,PARTY-RECORD,copybooks/PR/gpcoy001.cpy
GPCOC001,PR,Premises and Operations Liability,CO,COMMAREA,copybooks/PR/gpcoc001.cpy
GPCOR001,PR,Premises and Operations Liability,CO,RATING-FACTORS,copybooks/PR/gpcor001.cpy
GPCOE001,PR,Premises and Operations Liability,CO,ENDORSEMENT,copybooks/PR/gpcoe001.cpy
GPCOM001,PR,Premises and Operations Liability,CO,ERROR-MSG,copybooks/PR/gpcom001.cpy
GPCTP001,PR,Premises and Operations Liability,CT,POLICY-RECORD,copybooks/PR/gpctp001.cpy
GPCTY001,PR,Premises and Operations Liability,CT,PARTY-RECORD,copybooks/PR/gpcty001.cpy
GPCTC001,PR,Premises and Operations Liability,CT,COMMAREA,copybooks/PR/gpctc001.cpy
GPCTR001,PR,Premises and Operations Liability,CT,RATING-FACTORS,copybooks/PR/gpctr001.cpy
GPCTE001,PR,Premises and Operations Liability,CT,ENDORSEMENT,copybooks/PR/gpcte001.cpy
GPCTM001,PR,Premises and Operations Liability,CT,ERROR-MSG,copybooks/PR/gpctm001.cpy
GPDEP001,PR,Premises and Operations Liability,DE,POLICY-RECORD,copybooks/PR/gpdep001.cpy
GPDEY001,PR,Premises and Operations Liability,DE,PARTY-RECORD,copybooks/PR/gpdey001.cpy
GPDEC001,PR,Premises and Operations Liability,DE,COMMAREA,copybooks/PR/gpdec001.cpy
GPDER001,PR,Premises and Operations Liability,DE,RATING-FACTORS,copybooks/PR/gpder001.cpy
GPDEE001,PR,Premises and Operations Liability,DE,ENDORSEMENT,copybooks/PR/gpdee001.cpy
GPDEM001,PR,Premises and Operations Liability,DE,ERROR-MSG,copybooks/PR/gpdem001.cpy
GPDCP001,PR,Premises and Operations Liability,DC,POLICY-RECORD,copybooks/PR/gpdcp001.cpy
GPDCY001,PR,Premises and Operations Liability,DC,PARTY-RECORD,copybooks/PR/gpdcy001.cpy
GPDCC001,PR,Premises and Operations Liability,DC,COMMAREA,copybooks/PR/gpdcc001.cpy
GPDCR001,PR,Premises and Operations Liability,DC,RATING-FACTORS,copybooks/PR/gpdcr001.cpy
GPDCE001,PR,Premises and Operations Liability,DC,ENDORSEMENT,copybooks/PR/gpdce001.cpy
GPDCM001,PR,Premises and Operations Liability,DC,ERROR-MSG,copybooks/PR/gpdcm001.cpy
GPFLP001,PR,Premises and Operations Liability,FL,POLICY-RECORD,copybooks/PR/gpflp001.cpy
GPFLY001,PR,Premises and Operations Liability,FL,PARTY-RECORD,copybooks/PR/gpfly001.cpy
GPFLC001,PR,Premises and Operations Liability,FL,COMMAREA,copybooks/PR/gpflc001.cpy
GPFLR001,PR,Premises and Operations Liability,FL,RATING-FACTORS,copybooks/PR/gpflr001.cpy
GPFLE001,PR,Premises and Operations Liability,FL,ENDORSEMENT,copybooks/PR/gpfle001.cpy
GPFLM001,PR,Premises and Operations Liability,FL,ERROR-MSG,copybooks/PR/gpflm001.cpy
GPGAP001,PR,Premises and Operations Liability,GA,POLICY-RECORD,copybooks/PR/gpgap001.cpy
GPGAY001,PR,Premises and Operations Liability,GA,PARTY-RECORD,copybooks/PR/gpgay001.cpy
GPGAC001,PR,Premises and Operations Liability,GA,COMMAREA,copybooks/PR/gpgac001.cpy
GPGAR001,PR,Premises and Operations Liability,GA,RATING-FACTORS,copybooks/PR/gpgar001.cpy
GPGAE001,PR,Premises and Operations Liability,GA,ENDORSEMENT,copybooks/PR/gpgae001.cpy
GPGAM001,PR,Premises and Operations Liability,GA,ERROR-MSG,copybooks/PR/gpgam001.cpy
GPHIP001,PR,Premises and Operations Liability,HI,POLICY-RECORD,copybooks/PR/gphip001.cpy
GPHIY001,PR,Premises and Operations Liability,HI,PARTY-RECORD,copybooks/PR/gphiy001.cpy
GPHIC001,PR,Premises and Operations Liability,HI,COMMAREA,copybooks/PR/gphic001.cpy
GPHIR001,PR,Premises and Operations Liability,HI,RATING-FACTORS,copybooks/PR/gphir001.cpy
GPHIE001,PR,Premises and Operations Liability,HI,ENDORSEMENT,copybooks/PR/gphie001.cpy
GPHIM001,PR,Premises and Operations Liability,HI,ERROR-MSG,copybooks/PR/gphim001.cpy
GPIDP001,PR,Premises and Operations Liability,ID,POLICY-RECORD,copybooks/PR/gpidp001.cpy
GPIDY001,PR,Premises and Operations Liability,ID,PARTY-RECORD,copybooks/PR/gpidy001.cpy
GPIDC001,PR,Premises and Operations Liability,ID,COMMAREA,copybooks/PR/gpidc001.cpy
GPIDR001,PR,Premises and Operations Liability,ID,RATING-FACTORS,copybooks/PR/gpidr001.cpy
GPIDE001,PR,Premises and Operations Liability,ID,ENDORSEMENT,copybooks/PR/gpide001.cpy
GPIDM001,PR,Premises and Operations Liability,ID,ERROR-MSG,copybooks/PR/gpidm001.cpy
GPILP001,PR,Premises and Operations Liability,IL,POLICY-RECORD,copybooks/PR/gpilp001.cpy
GPILY001,PR,Premises and Operations Liability,IL,PARTY-RECORD,copybooks/PR/gpily001.cpy
GPILC001,PR,Premises and Operations Liability,IL,COMMAREA,copybooks/PR/gpilc001.cpy
GPILR001,PR,Premises and Operations Liability,IL,RATING-FACTORS,copybooks/PR/gpilr001.cpy
GPILE001,PR,Premises and Operations Liability,IL,ENDORSEMENT,copybooks/PR/gpile001.cpy
GPILM001,PR,Premises and Operations Liability,IL,ERROR-MSG,copybooks/PR/gpilm001.cpy
GPINP001,PR,Premises and Operations Liability,IN,POLICY-RECORD,copybooks/PR/gpinp001.cpy
GPINY001,PR,Premises and Operations Liability,IN,PARTY-RECORD,copybooks/PR/gpiny001.cpy
GPINC001,PR,Premises and Operations Liability,IN,COMMAREA,copybooks/PR/gpinc001.cpy
GPINR001,PR,Premises and Operations Liability,IN,RATING-FACTORS,copybooks/PR/gpinr001.cpy
GPINE001,PR,Premises and Operations Liability,IN,ENDORSEMENT,copybooks/PR/gpine001.cpy
GPINM001,PR,Premises and Operations Liability,IN,ERROR-MSG,copybooks/PR/gpinm001.cpy
GPIAP001,PR,Premises and Operations Liability,IA,POLICY-RECORD,copybooks/PR/gpiap001.cpy
GPIAY001,PR,Premises and Operations Liability,IA,PARTY-RECORD,copybooks/PR/gpiay001.cpy
GPIAC001,PR,Premises and Operations Liability,IA,COMMAREA,copybooks/PR/gpiac001.cpy
GPIAR001,PR,Premises and Operations Liability,IA,RATING-FACTORS,copybooks/PR/gpiar001.cpy
GPIAE001,PR,Premises and Operations Liability,IA,ENDORSEMENT,copybooks/PR/gpiae001.cpy
GPIAM001,PR,Premises and Operations Liability,IA,ERROR-MSG,copybooks/PR/gpiam001.cpy
GPKSP001,PR,Premises and Operations Liability,KS,POLICY-RECORD,copybooks/PR/gpksp001.cpy
GPKSY001,PR,Premises and Operations Liability,KS,PARTY-RECORD,copybooks/PR/gpksy001.cpy
GPKSC001,PR,Premises and Operations Liability,KS,COMMAREA,copybooks/PR/gpksc001.cpy
GPKSR001,PR,Premises and Operations Liability,KS,RATING-FACTORS,copybooks/PR/gpksr001.cpy
GPKSE001,PR,Premises and Operations Liability,KS,ENDORSEMENT,copybooks/PR/gpkse001.cpy
GPKSM001,PR,Premises and Operations Liability,KS,ERROR-MSG,copybooks/PR/gpksm001.cpy
GPKYP001,PR,Premises and Operations Liability,KY,POLICY-RECORD,copybooks/PR/gpkyp001.cpy
GPKYY001,PR,Premises and Operations Liability,KY,PARTY-RECORD,copybooks/PR/gpkyy001.cpy
GPKYC001,PR,Premises and Operations Liability,KY,COMMAREA,copybooks/PR/gpkyc001.cpy
GPKYR001,PR,Premises and Operations Liability,KY,RATING-FACTORS,copybooks/PR/gpkyr001.cpy
GPKYE001,PR,Premises and Operations Liability,KY,ENDORSEMENT,copybooks/PR/gpkye001.cpy
GPKYM001,PR,Premises and Operations Liability,KY,ERROR-MSG,copybooks/PR/gpkym001.cpy
GPLAP001,PR,Premises and Operations Liability,LA,POLICY-RECORD,copybooks/PR/gplap001.cpy
GPLAY001,PR,Premises and Operations Liability,LA,PARTY-RECORD,copybooks/PR/gplay001.cpy
GPLAC001,PR,Premises and Operations Liability,LA,COMMAREA,copybooks/PR/gplac001.cpy
GPLAR001,PR,Premises and Operations Liability,LA,RATING-FACTORS,copybooks/PR/gplar001.cpy
GPLAE001,PR,Premises and Operations Liability,LA,ENDORSEMENT,copybooks/PR/gplae001.cpy
GPLAM001,PR,Premises and Operations Liability,LA,ERROR-MSG,copybooks/PR/gplam001.cpy
GPMEP001,PR,Premises and Operations Liability,ME,POLICY-RECORD,copybooks/PR/gpmep001.cpy
GPMEY001,PR,Premises and Operations Liability,ME,PARTY-RECORD,copybooks/PR/gpmey001.cpy
GPMEC001,PR,Premises and Operations Liability,ME,COMMAREA,copybooks/PR/gpmec001.cpy
GPMER001,PR,Premises and Operations Liability,ME,RATING-FACTORS,copybooks/PR/gpmer001.cpy
GPMEE001,PR,Premises and Operations Liability,ME,ENDORSEMENT,copybooks/PR/gpmee001.cpy
GPMEM001,PR,Premises and Operations Liability,ME,ERROR-MSG,copybooks/PR/gpmem001.cpy
GPMDP001,PR,Premises and Operations Liability,MD,POLICY-RECORD,copybooks/PR/gpmdp001.cpy
GPMDY001,PR,Premises and Operations Liability,MD,PARTY-RECORD,copybooks/PR/gpmdy001.cpy
GPMDC001,PR,Premises and Operations Liability,MD,COMMAREA,copybooks/PR/gpmdc001.cpy
GPMDR001,PR,Premises and Operations Liability,MD,RATING-FACTORS,copybooks/PR/gpmdr001.cpy
GPMDE001,PR,Premises and Operations Liability,MD,ENDORSEMENT,copybooks/PR/gpmde001.cpy
GPMDM001,PR,Premises and Operations Liability,MD,ERROR-MSG,copybooks/PR/gpmdm001.cpy
GPMAP001,PR,Premises and Operations Liability,MA,POLICY-RECORD,copybooks/PR/gpmap001.cpy
GPMAY001,PR,Premises and Operations Liability,MA,PARTY-RECORD,copybooks/PR/gpmay001.cpy
GPMAC001,PR,Premises and Operations Liability,MA,COMMAREA,copybooks/PR/gpmac001.cpy
GPMAR001,PR,Premises and Operations Liability,MA,RATING-FACTORS,copybooks/PR/gpmar001.cpy
GPMAE001,PR,Premises and Operations Liability,MA,ENDORSEMENT,copybooks/PR/gpmae001.cpy
GPMAM001,PR,Premises and Operations Liability,MA,ERROR-MSG,copybooks/PR/gpmam001.cpy
GPMIP001,PR,Premises and Operations Liability,MI,POLICY-RECORD,copybooks/PR/gpmip001.cpy
GPMIY001,PR,Premises and Operations Liability,MI,PARTY-RECORD,copybooks/PR/gpmiy001.cpy
GPMIC001,PR,Premises and Operations Liability,MI,COMMAREA,copybooks/PR/gpmic001.cpy
GPMIR001,PR,Premises and Operations Liability,MI,RATING-FACTORS,copybooks/PR/gpmir001.cpy
GPMIE001,PR,Premises and Operations Liability,MI,ENDORSEMENT,copybooks/PR/gpmie001.cpy
GPMIM001,PR,Premises and Operations Liability,MI,ERROR-MSG,copybooks/PR/gpmim001.cpy
GPMNP001,PR,Premises and Operations Liability,MN,POLICY-RECORD,copybooks/PR/gpmnp001.cpy
GPMNY001,PR,Premises and Operations Liability,MN,PARTY-RECORD,copybooks/PR/gpmny001.cpy
GPMNC001,PR,Premises and Operations Liability,MN,COMMAREA,copybooks/PR/gpmnc001.cpy
GPMNR001,PR,Premises and Operations Liability,MN,RATING-FACTORS,copybooks/PR/gpmnr001.cpy
GPMNE001,PR,Premises and Operations Liability,MN,ENDORSEMENT,copybooks/PR/gpmne001.cpy
GPMNM001,PR,Premises and Operations Liability,MN,ERROR-MSG,copybooks/PR/gpmnm001.cpy
GPMSP001,PR,Premises and Operations Liability,MS,POLICY-RECORD,copybooks/PR/gpmsp001.cpy
GPMSY001,PR,Premises and Operations Liability,MS,PARTY-RECORD,copybooks/PR/gpmsy001.cpy
GPMSC001,PR,Premises and Operations Liability,MS,COMMAREA,copybooks/PR/gpmsc001.cpy
GPMSR001,PR,Premises and Operations Liability,MS,RATING-FACTORS,copybooks/PR/gpmsr001.cpy
GPMSE001,PR,Premises and Operations Liability,MS,ENDORSEMENT,copybooks/PR/gpmse001.cpy
GPMSM001,PR,Premises and Operations Liability,MS,ERROR-MSG,copybooks/PR/gpmsm001.cpy
GPMOP001,PR,Premises and Operations Liability,MO,POLICY-RECORD,copybooks/PR/gpmop001.cpy
GPMOY001,PR,Premises and Operations Liability,MO,PARTY-RECORD,copybooks/PR/gpmoy001.cpy
GPMOC001,PR,Premises and Operations Liability,MO,COMMAREA,copybooks/PR/gpmoc001.cpy
GPMOR001,PR,Premises and Operations Liability,MO,RATING-FACTORS,copybooks/PR/gpmor001.cpy
GPMOE001,PR,Premises and Operations Liability,MO,ENDORSEMENT,copybooks/PR/gpmoe001.cpy
GPMOM001,PR,Premises and Operations Liability,MO,ERROR-MSG,copybooks/PR/gpmom001.cpy
GPMTP001,PR,Premises and Operations Liability,MT,POLICY-RECORD,copybooks/PR/gpmtp001.cpy
GPMTY001,PR,Premises and Operations Liability,MT,PARTY-RECORD,copybooks/PR/gpmty001.cpy
GPMTC001,PR,Premises and Operations Liability,MT,COMMAREA,copybooks/PR/gpmtc001.cpy
GPMTR001,PR,Premises and Operations Liability,MT,RATING-FACTORS,copybooks/PR/gpmtr001.cpy
GPMTE001,PR,Premises and Operations Liability,MT,ENDORSEMENT,copybooks/PR/gpmte001.cpy
GPMTM001,PR,Premises and Operations Liability,MT,ERROR-MSG,copybooks/PR/gpmtm001.cpy
GPNEP001,PR,Premises and Operations Liability,NE,POLICY-RECORD,copybooks/PR/gpnep001.cpy
GPNEY001,PR,Premises and Operations Liability,NE,PARTY-RECORD,copybooks/PR/gpney001.cpy
GPNEC001,PR,Premises and Operations Liability,NE,COMMAREA,copybooks/PR/gpnec001.cpy
GPNER001,PR,Premises and Operations Liability,NE,RATING-FACTORS,copybooks/PR/gpner001.cpy
GPNEE001,PR,Premises and Operations Liability,NE,ENDORSEMENT,copybooks/PR/gpnee001.cpy
GPNEM001,PR,Premises and Operations Liability,NE,ERROR-MSG,copybooks/PR/gpnem001.cpy
GPNVP001,PR,Premises and Operations Liability,NV,POLICY-RECORD,copybooks/PR/gpnvp001.cpy
GPNVY001,PR,Premises and Operations Liability,NV,PARTY-RECORD,copybooks/PR/gpnvy001.cpy
GPNVC001,PR,Premises and Operations Liability,NV,COMMAREA,copybooks/PR/gpnvc001.cpy
GPNVR001,PR,Premises and Operations Liability,NV,RATING-FACTORS,copybooks/PR/gpnvr001.cpy
GPNVE001,PR,Premises and Operations Liability,NV,ENDORSEMENT,copybooks/PR/gpnve001.cpy
GPNVM001,PR,Premises and Operations Liability,NV,ERROR-MSG,copybooks/PR/gpnvm001.cpy
GPNHP001,PR,Premises and Operations Liability,NH,POLICY-RECORD,copybooks/PR/gpnhp001.cpy
GPNHY001,PR,Premises and Operations Liability,NH,PARTY-RECORD,copybooks/PR/gpnhy001.cpy
GPNHC001,PR,Premises and Operations Liability,NH,COMMAREA,copybooks/PR/gpnhc001.cpy
GPNHR001,PR,Premises and Operations Liability,NH,RATING-FACTORS,copybooks/PR/gpnhr001.cpy
GPNHE001,PR,Premises and Operations Liability,NH,ENDORSEMENT,copybooks/PR/gpnhe001.cpy
GPNHM001,PR,Premises and Operations Liability,NH,ERROR-MSG,copybooks/PR/gpnhm001.cpy
GPNJP001,PR,Premises and Operations Liability,NJ,POLICY-RECORD,copybooks/PR/gpnjp001.cpy
GPNJY001,PR,Premises and Operations Liability,NJ,PARTY-RECORD,copybooks/PR/gpnjy001.cpy
GPNJC001,PR,Premises and Operations Liability,NJ,COMMAREA,copybooks/PR/gpnjc001.cpy
GPNJR001,PR,Premises and Operations Liability,NJ,RATING-FACTORS,copybooks/PR/gpnjr001.cpy
GPNJE001,PR,Premises and Operations Liability,NJ,ENDORSEMENT,copybooks/PR/gpnje001.cpy
GPNJM001,PR,Premises and Operations Liability,NJ,ERROR-MSG,copybooks/PR/gpnjm001.cpy
GPNMP001,PR,Premises and Operations Liability,NM,POLICY-RECORD,copybooks/PR/gpnmp001.cpy
GPNMY001,PR,Premises and Operations Liability,NM,PARTY-RECORD,copybooks/PR/gpnmy001.cpy
GPNMC001,PR,Premises and Operations Liability,NM,COMMAREA,copybooks/PR/gpnmc001.cpy
GPNMR001,PR,Premises and Operations Liability,NM,RATING-FACTORS,copybooks/PR/gpnmr001.cpy
GPNME001,PR,Premises and Operations Liability,NM,ENDORSEMENT,copybooks/PR/gpnme001.cpy
GPNMM001,PR,Premises and Operations Liability,NM,ERROR-MSG,copybooks/PR/gpnmm001.cpy
GPNYP001,PR,Premises and Operations Liability,NY,POLICY-RECORD,copybooks/PR/gpnyp001.cpy
GPNYY001,PR,Premises and Operations Liability,NY,PARTY-RECORD,copybooks/PR/gpnyy001.cpy
GPNYC001,PR,Premises and Operations Liability,NY,COMMAREA,copybooks/PR/gpnyc001.cpy
GPNYR001,PR,Premises and Operations Liability,NY,RATING-FACTORS,copybooks/PR/gpnyr001.cpy
GPNYE001,PR,Premises and Operations Liability,NY,ENDORSEMENT,copybooks/PR/gpnye001.cpy
GPNYM001,PR,Premises and Operations Liability,NY,ERROR-MSG,copybooks/PR/gpnym001.cpy
GPNCP001,PR,Premises and Operations Liability,NC,POLICY-RECORD,copybooks/PR/gpncp001.cpy
GPNCY001,PR,Premises and Operations Liability,NC,PARTY-RECORD,copybooks/PR/gpncy001.cpy
GPNCC001,PR,Premises and Operations Liability,NC,COMMAREA,copybooks/PR/gpncc001.cpy
GPNCR001,PR,Premises and Operations Liability,NC,RATING-FACTORS,copybooks/PR/gpncr001.cpy
GPNCE001,PR,Premises and Operations Liability,NC,ENDORSEMENT,copybooks/PR/gpnce001.cpy
GPNCM001,PR,Premises and Operations Liability,NC,ERROR-MSG,copybooks/PR/gpncm001.cpy
GPNDP001,PR,Premises and Operations Liability,ND,POLICY-RECORD,copybooks/PR/gpndp001.cpy
GPNDY001,PR,Premises and Operations Liability,ND,PARTY-RECORD,copybooks/PR/gpndy001.cpy
GPNDC001,PR,Premises and Operations Liability,ND,COMMAREA,copybooks/PR/gpndc001.cpy
GPNDR001,PR,Premises and Operations Liability,ND,RATING-FACTORS,copybooks/PR/gpndr001.cpy
GPNDE001,PR,Premises and Operations Liability,ND,ENDORSEMENT,copybooks/PR/gpnde001.cpy
GPNDM001,PR,Premises and Operations Liability,ND,ERROR-MSG,copybooks/PR/gpndm001.cpy
GPOHP001,PR,Premises and Operations Liability,OH,POLICY-RECORD,copybooks/PR/gpohp001.cpy
GPOHY001,PR,Premises and Operations Liability,OH,PARTY-RECORD,copybooks/PR/gpohy001.cpy
GPOHC001,PR,Premises and Operations Liability,OH,COMMAREA,copybooks/PR/gpohc001.cpy
GPOHR001,PR,Premises and Operations Liability,OH,RATING-FACTORS,copybooks/PR/gpohr001.cpy
GPOHE001,PR,Premises and Operations Liability,OH,ENDORSEMENT,copybooks/PR/gpohe001.cpy
GPOHM001,PR,Premises and Operations Liability,OH,ERROR-MSG,copybooks/PR/gpohm001.cpy
GPOKP001,PR,Premises and Operations Liability,OK,POLICY-RECORD,copybooks/PR/gpokp001.cpy
GPOKY001,PR,Premises and Operations Liability,OK,PARTY-RECORD,copybooks/PR/gpoky001.cpy
GPOKC001,PR,Premises and Operations Liability,OK,COMMAREA,copybooks/PR/gpokc001.cpy
GPOKR001,PR,Premises and Operations Liability,OK,RATING-FACTORS,copybooks/PR/gpokr001.cpy
GPOKE001,PR,Premises and Operations Liability,OK,ENDORSEMENT,copybooks/PR/gpoke001.cpy
GPOKM001,PR,Premises and Operations Liability,OK,ERROR-MSG,copybooks/PR/gpokm001.cpy
GPORP001,PR,Premises and Operations Liability,OR,POLICY-RECORD,copybooks/PR/gporp001.cpy
GPORY001,PR,Premises and Operations Liability,OR,PARTY-RECORD,copybooks/PR/gpory001.cpy
GPORC001,PR,Premises and Operations Liability,OR,COMMAREA,copybooks/PR/gporc001.cpy
GPORR001,PR,Premises and Operations Liability,OR,RATING-FACTORS,copybooks/PR/gporr001.cpy
GPORE001,PR,Premises and Operations Liability,OR,ENDORSEMENT,copybooks/PR/gpore001.cpy
GPORM001,PR,Premises and Operations Liability,OR,ERROR-MSG,copybooks/PR/gporm001.cpy
GPPAP001,PR,Premises and Operations Liability,PA,POLICY-RECORD,copybooks/PR/gppap001.cpy
GPPAY001,PR,Premises and Operations Liability,PA,PARTY-RECORD,copybooks/PR/gppay001.cpy
GPPAC001,PR,Premises and Operations Liability,PA,COMMAREA,copybooks/PR/gppac001.cpy
GPPAR001,PR,Premises and Operations Liability,PA,RATING-FACTORS,copybooks/PR/gppar001.cpy
GPPAE001,PR,Premises and Operations Liability,PA,ENDORSEMENT,copybooks/PR/gppae001.cpy
GPPAM001,PR,Premises and Operations Liability,PA,ERROR-MSG,copybooks/PR/gppam001.cpy
GPRIP001,PR,Premises and Operations Liability,RI,POLICY-RECORD,copybooks/PR/gprip001.cpy
GPRIY001,PR,Premises and Operations Liability,RI,PARTY-RECORD,copybooks/PR/gpriy001.cpy
GPRIC001,PR,Premises and Operations Liability,RI,COMMAREA,copybooks/PR/gpric001.cpy
GPRIR001,PR,Premises and Operations Liability,RI,RATING-FACTORS,copybooks/PR/gprir001.cpy
GPRIE001,PR,Premises and Operations Liability,RI,ENDORSEMENT,copybooks/PR/gprie001.cpy
GPRIM001,PR,Premises and Operations Liability,RI,ERROR-MSG,copybooks/PR/gprim001.cpy
GPSCP001,PR,Premises and Operations Liability,SC,POLICY-RECORD,copybooks/PR/gpscp001.cpy
GPSCY001,PR,Premises and Operations Liability,SC,PARTY-RECORD,copybooks/PR/gpscy001.cpy
GPSCC001,PR,Premises and Operations Liability,SC,COMMAREA,copybooks/PR/gpscc001.cpy
GPSCR001,PR,Premises and Operations Liability,SC,RATING-FACTORS,copybooks/PR/gpscr001.cpy
GPSCE001,PR,Premises and Operations Liability,SC,ENDORSEMENT,copybooks/PR/gpsce001.cpy
GPSCM001,PR,Premises and Operations Liability,SC,ERROR-MSG,copybooks/PR/gpscm001.cpy
GPSDP001,PR,Premises and Operations Liability,SD,POLICY-RECORD,copybooks/PR/gpsdp001.cpy
GPSDY001,PR,Premises and Operations Liability,SD,PARTY-RECORD,copybooks/PR/gpsdy001.cpy
GPSDC001,PR,Premises and Operations Liability,SD,COMMAREA,copybooks/PR/gpsdc001.cpy
GPSDR001,PR,Premises and Operations Liability,SD,RATING-FACTORS,copybooks/PR/gpsdr001.cpy
GPSDE001,PR,Premises and Operations Liability,SD,ENDORSEMENT,copybooks/PR/gpsde001.cpy
GPSDM001,PR,Premises and Operations Liability,SD,ERROR-MSG,copybooks/PR/gpsdm001.cpy
GPTNP001,PR,Premises and Operations Liability,TN,POLICY-RECORD,copybooks/PR/gptnp001.cpy
GPTNY001,PR,Premises and Operations Liability,TN,PARTY-RECORD,copybooks/PR/gptny001.cpy
GPTNC001,PR,Premises and Operations Liability,TN,COMMAREA,copybooks/PR/gptnc001.cpy
GPTNR001,PR,Premises and Operations Liability,TN,RATING-FACTORS,copybooks/PR/gptnr001.cpy
GPTNE001,PR,Premises and Operations Liability,TN,ENDORSEMENT,copybooks/PR/gptne001.cpy
GPTNM001,PR,Premises and Operations Liability,TN,ERROR-MSG,copybooks/PR/gptnm001.cpy
GPTXP001,PR,Premises and Operations Liability,TX,POLICY-RECORD,copybooks/PR/gptxp001.cpy
GPTXY001,PR,Premises and Operations Liability,TX,PARTY-RECORD,copybooks/PR/gptxy001.cpy
GPTXC001,PR,Premises and Operations Liability,TX,COMMAREA,copybooks/PR/gptxc001.cpy
GPTXR001,PR,Premises and Operations Liability,TX,RATING-FACTORS,copybooks/PR/gptxr001.cpy
GPTXE001,PR,Premises and Operations Liability,TX,ENDORSEMENT,copybooks/PR/gptxe001.cpy
GPTXM001,PR,Premises and Operations Liability,TX,ERROR-MSG,copybooks/PR/gptxm001.cpy
GPUTP001,PR,Premises and Operations Liability,UT,POLICY-RECORD,copybooks/PR/gputp001.cpy
GPUTY001,PR,Premises and Operations Liability,UT,PARTY-RECORD,copybooks/PR/gputy001.cpy
GPUTC001,PR,Premises and Operations Liability,UT,COMMAREA,copybooks/PR/gputc001.cpy
GPUTR001,PR,Premises and Operations Liability,UT,RATING-FACTORS,copybooks/PR/gputr001.cpy
GPUTE001,PR,Premises and Operations Liability,UT,ENDORSEMENT,copybooks/PR/gpute001.cpy
GPUTM001,PR,Premises and Operations Liability,UT,ERROR-MSG,copybooks/PR/gputm001.cpy
GPVTP001,PR,Premises and Operations Liability,VT,POLICY-RECORD,copybooks/PR/gpvtp001.cpy
