program_id,coverage_part,coverage_name,state,operation,layer,links_to,copybooks_used,path
GPAKIV01,PR,Premises and Operations Liability,AK,INQUIRE,VSAM-ACCESS,,GPAKC001,programs/PR/gpakiv01.cbl
GPAKUL01,PR,Premises and Operations Liability,AK,UPDATE,BUSINESS-LOGIC,GPAKUD01,GPAKC001,programs/PR/gpakul01.cbl
GPAKUD01,PR,Premises and Operations Liability,AK,UPDATE,DB2-ACCESS,GPAKUV01,GPAKC001,programs/PR/gpakud01.cbl
GPAKUV01,PR,Premises and Operations Liability,AK,UPDATE,VSAM-ACCESS,,GPAKC001,programs/PR/gpakuv01.cbl
GPAKDL01,PR,Premises and Operations Liability,AK,DELETE,BUSINESS-LOGIC,GPAKDD01,GPAKC001,programs/PR/gpakdl01.cbl
GPAKDD01,PR,Premises and Operations Liability,AK,DELETE,DB2-ACCESS,GPAKDV01,GPAKC001,programs/PR/gpakdd01.cbl
GPAKDV01,PR,Premises and Operations Liability,AK,DELETE,VSAM-ACCESS,,GPAKC001,programs/PR/gpakdv01.cbl
GPAKRL01,PR,Premises and Operations Liability,AK,RATE,BUSINESS-LOGIC,GPAKRD01,GPAKC001,programs/PR/gpakrl01.cbl
GPAKRD01,PR,Premises and Operations Liability,AK,RATE,DB2-ACCESS,,GPAKC001,programs/PR/gpakrd01.cbl
GPAKRV01,PR,Premises and Operations Liability,AK,RATE,VSAM-ACCESS,,GPAKC001,programs/PR/gpakrv01.cbl
GPAZAL01,PR,Premises and Operations Liability,AZ,ADD,BUSINESS-LOGIC,GPAZAD01,GPAZC001,programs/PR/gpazal01.cbl
GPAZAD01,PR,Premises and Operations Liability,AZ,ADD,DB2-ACCESS,GPAZAV01,GPAZC001,programs/PR/gpazad01.cbl
GPAZAV01,PR,Premises and Operations Liability,AZ,ADD,VSAM-ACCESS,,GPAZC001,programs/PR/gpazav01.cbl
GPAZIL01,PR,Premises and Operations Liability,AZ,INQUIRE,BUSINESS-LOGIC,GPAZID01,GPAZC001,programs/PR/gpazil01.cbl
GPAZID01,PR,Premises and Operations Liability,AZ,INQUIRE,DB2-ACCESS,,GPAZC001,programs/PR/gpazid01.cbl
GPAZIV01,PR,Premises and Operations Liability,AZ,INQUIRE,VSAM-ACCESS,,GPAZC001,programs/PR/gpaziv01.cbl
GPAZUL01,PR,Premises and Operations Liability,AZ,UPDATE,BUSINESS-LOGIC,GPAZUD01,GPAZC001,programs/PR/gpazul01.cbl
GPAZUD01,PR,Premises and Operations Liability,AZ,UPDATE,DB2-ACCESS,GPAZUV01,GPAZC001,programs/PR/gpazud01.cbl
GPAZUV01,PR,Premises and Operations Liability,AZ,UPDATE,VSAM-ACCESS,,GPAZC001,programs/PR/gpazuv01.cbl
GPAZDL01,PR,Premises and Operations Liability,AZ,DELETE,BUSINESS-LOGIC,GPAZDD01,GPAZC001,programs/PR/gpazdl01.cbl
GPAZDD01,PR,Premises and Operations Liability,AZ,DELETE,DB2-ACCESS,GPAZDV01,GPAZC001,programs/PR/gpazdd01.cbl
GPAZDV01,PR,Premises and Operations Liability,AZ,DELETE,VSAM-ACCESS,,GPAZC001,programs/PR/gpazdv01.cbl
GPAZRL01,PR,Premises and Operations Liability,AZ,RATE,BUSINESS-LOGIC,GPAZRD01,GPAZC001,programs/PR/gpazrl01.cbl
GPAZRD01,PR,Premises and Operations Liability,AZ,RATE,DB2-ACCESS,,GPAZC001,programs/PR/gpazrd01.cbl
GPAZRV01,PR,Premises and Operations Liability,AZ,RATE,VSAM-ACCESS,,GPAZC001,programs/PR/gpazrv01.cbl
GPARAL01,PR,Premises and Operations Liability,AR,ADD,BUSINESS-LOGIC,GPARAD01,GPARC001,programs/PR/gparal01.cbl
GPARAD01,PR,Premises and Operations Liability,AR,ADD,DB2-ACCESS,GPARAV01,GPARC001,programs/PR/gparad01.cbl
GPARAV01,PR,Premises and Operations Liability,AR,ADD,VSAM-ACCESS,,GPARC001,programs/PR/gparav01.cbl
GPARIL01,PR,Premises and Operations Liability,AR,INQUIRE,BUSINESS-LOGIC,GPARID01,GPARC001,programs/PR/gparil01.cbl
GPARID01,PR,Premises and Operations Liability,AR,INQUIRE,DB2-ACCESS,,GPARC001,programs/PR/gparid01.cbl
GPARIV01,PR,Premises and Operations Liability,AR,INQUIRE,VSAM-ACCESS,,GPARC001,programs/PR/gpariv01.cbl
GPARUL01,PR,Premises and Operations Liability,AR,UPDATE,BUSINESS-LOGIC,GPARUD01,GPARC001,programs/PR/gparul01.cbl
GPARUD01,PR,Premises and Operations Liability,AR,UPDATE,DB2-ACCESS,GPARUV01,GPARC001,programs/PR/gparud01.cbl
GPARUV01,PR,Premises and Operations Liability,AR,UPDATE,VSAM-ACCESS,,GPARC001,programs/PR/gparuv01.cbl
GPARDL01,PR,Premises and Operations Liability,AR,DELETE,BUSINESS-LOGIC,GPARDD01,GPARC001,programs/PR/gpardl01.cbl
GPARDD01,PR,Premises and Operations Liability,AR,DELETE,DB2-ACCESS,GPARDV01,GPARC001,programs/PR/gpardd01.cbl
GPARDV01,PR,Premises and Operations Liability,AR,DELETE,VSAM-ACCESS,,GPARC001,programs/PR/gpardv01.cbl
GPARRL01,PR,Premises and Operations Liability,AR,RATE,BUSINESS-LOGIC,GPARRD01,GPARC001,programs/PR/gparrl01.cbl
GPARRD01,PR,Premises and Operations Liability,AR,RATE,DB2-ACCESS,,GPARC001,programs/PR/gparrd01.cbl
GPARRV01,PR,Premises and Operations Liability,AR,RATE,VSAM-ACCESS,,GPARC001,programs/PR/gparrv01.cbl
GPCAAL01,PR,Premises and Operations Liability,CA,ADD,BUSINESS-LOGIC,GPCAAD01,GPCAC001,programs/PR/gpcaal01.cbl
GPCAAD01,PR,Premises and Operations Liability,CA,ADD,DB2-ACCESS,GPCAAV01,GPCAC001,programs/PR/gpcaad01.cbl
GPCAAV01,PR,Premises and Operations Liability,CA,ADD,VSAM-ACCESS,,GPCAC001,programs/PR/gpcaav01.cbl
GPCAIL01,PR,Premises and Operations Liability,CA,INQUIRE,BUSINESS-LOGIC,GPCAID01,GPCAC001,programs/PR/gpcail01.cbl
GPCAID01,PR,Premises and Operations Liability,CA,INQUIRE,DB2-ACCESS,,GPCAC001,programs/PR/gpcaid01.cbl
GPCAIV01,PR,Premises and Operations Liability,CA,INQUIRE,VSAM-ACCESS,,GPCAC001,programs/PR/gpcaiv01.cbl
GPCAUL01,PR,Premises and Operations Liability,CA,UPDATE,BUSINESS-LOGIC,GPCAUD01,GPCAC001,programs/PR/gpcaul01.cbl
GPCAUD01,PR,Premises and Operations Liability,CA,UPDATE,DB2-ACCESS,GPCAUV01,GPCAC001,programs/PR/gpcaud01.cbl
GPCAUV01,PR,Premises and Operations Liability,CA,UPDATE,VSAM-ACCESS,,GPCAC001,programs/PR/gpcauv01.cbl
GPCADL01,PR,Premises and Operations Liability,CA,DELETE,BUSINESS-LOGIC,GPCADD01,GPCAC001,programs/PR/gpcadl01.cbl
GPCADD01,PR,Premises and Operations Liability,CA,DELETE,DB2-ACCESS,GPCADV01,GPCAC001,programs/PR/gpcadd01.cbl
GPCADV01,PR,Premises and Operations Liability,CA,DELETE,VSAM-ACCESS,,GPCAC001,programs/PR/gpcadv01.cbl
GPCARL01,PR,Premises and Operations Liability,CA,RATE,BUSINESS-LOGIC,GPCARD01,GPCAC001,programs/PR/gpcarl01.cbl
GPCARD01,PR,Premises and Operations Liability,CA,RATE,DB2-ACCESS,,GPCAC001,programs/PR/gpcard01.cbl
GPCARV01,PR,Premises and Operations Liability,CA,RATE,VSAM-ACCESS,,GPCAC001,programs/PR/gpcarv01.cbl
GPCOAL01,PR,Premises and Operations Liability,CO,ADD,BUSINESS-LOGIC,GPCOAD01,GPCOC001,programs/PR/gpcoal01.cbl
GPCOAD01,PR,Premises and Operations Liability,CO,ADD,DB2-ACCESS,GPCOAV01,GPCOC001,programs/PR/gpcoad01.cbl
GPCOAV01,PR,Premises and Operations Liability,CO,ADD,VSAM-ACCESS,,GPCOC001,programs/PR/gpcoav01.cbl
GPCOIL01,PR,Premises and Operations Liability,CO,INQUIRE,BUSINESS-LOGIC,GPCOID01,GPCOC001,programs/PR/gpcoil01.cbl
GPCOID01,PR,Premises and Operations Liability,CO,INQUIRE,DB2-ACCESS,,GPCOC001,programs/PR/gpcoid01.cbl
GPCOIV01,PR,Premises and Operations Liability,CO,INQUIRE,VSAM-ACCESS,,GPCOC001,programs/PR/gpcoiv01.cbl
GPCOUL01,PR,Premises and Operations Liability,CO,UPDATE,BUSINESS-LOGIC,GPCOUD01,GPCOC001,programs/PR/gpcoul01.cbl
GPCOUD01,PR,Premises and Operations Liability,CO,UPDATE,DB2-ACCESS,GPCOUV01,GPCOC001,programs/PR/gpcoud01.cbl
GPCOUV01,PR,Premises and Operations Liability,CO,UPDATE,VSAM-ACCESS,,GPCOC001,programs/PR/gpcouv01.cbl
GPCODL01,PR,Premises and Operations Liability,CO,DELETE,BUSINESS-LOGIC,GPCODD01,GPCOC001,programs/PR/gpcodl01.cbl
GPCODD01,PR,Premises and Operations Liability,CO,DELETE,DB2-ACCESS,GPCODV01,GPCOC001,programs/PR/gpcodd01.cbl
GPCODV01,PR,Premises and Operations Liability,CO,DELETE,VSAM-ACCESS,,GPCOC001,programs/PR/gpcodv01.cbl
GPCORL01,PR,Premises and Operations Liability,CO,RATE,BUSINESS-LOGIC,GPCORD01,GPCOC001,programs/PR/gpcorl01.cbl
GPCORD01,PR,Premises and Operations Liability,CO,RATE,DB2-ACCESS,,GPCOC001,programs/PR/gpcord01.cbl
GPCORV01,PR,Premises and Operations Liability,CO,RATE,VSAM-ACCESS,,GPCOC001,programs/PR/gpcorv01.cbl
GPCTAL01,PR,Premises and Operations Liability,CT,ADD,BUSINESS-LOGIC,GPCTAD01,GPCTC001,programs/PR/gpctal01.cbl
GPCTAD01,PR,Premises and Operations Liability,CT,ADD,DB2-ACCESS,GPCTAV01,GPCTC001,programs/PR/gpctad01.cbl
GPCTAV01,PR,Premises and Operations Liability,CT,ADD,VSAM-ACCESS,,GPCTC001,programs/PR/gpctav01.cbl
GPCTIL01,PR,Premises and Operations Liability,CT,INQUIRE,BUSINESS-LOGIC,GPCTID01,GPCTC001,programs/PR/gpctil01.cbl
GPCTID01,PR,Premises and Operations Liability,CT,INQUIRE,DB2-ACCESS,,GPCTC001,programs/PR/gpctid01.cbl
GPCTIV01,PR,Premises and Operations Liability,CT,INQUIRE,VSAM-ACCESS,,GPCTC001,programs/PR/gpctiv01.cbl
GPCTUL01,PR,Premises and Operations Liability,CT,UPDATE,BUSINESS-LOGIC,GPCTUD01,GPCTC001,programs/PR/gpctul01.cbl
GPCTUD01,PR,Premises and Operations Liability,CT,UPDATE,DB2-ACCESS,GPCTUV01,GPCTC001,programs/PR/gpctud01.cbl
GPCTUV01,PR,Premises and Operations Liability,CT,UPDATE,VSAM-ACCESS,,GPCTC001,programs/PR/gpctuv01.cbl
GPCTDL01,PR,Premises and Operations Liability,CT,DELETE,BUSINESS-LOGIC,GPCTDD01,GPCTC001,programs/PR/gpctdl01.cbl
GPCTDD01,PR,Premises and Operations Liability,CT,DELETE,DB2-ACCESS,GPCTDV01,GPCTC001,programs/PR/gpctdd01.cbl
GPCTDV01,PR,Premises and Operations Liability,CT,DELETE,VSAM-ACCESS,,GPCTC001,programs/PR/gpctdv01.cbl
GPCTRL01,PR,Premises and Operations Liability,CT,RATE,BUSINESS-LOGIC,GPCTRD01,GPCTC001,programs/PR/gpctrl01.cbl
GPCTRD01,PR,Premises and Operations Liability,CT,RATE,DB2-ACCESS,,GPCTC001,programs/PR/gpctrd01.cbl
GPCTRV01,PR,Premises and Operations Liability,CT,RATE,VSAM-ACCESS,,GPCTC001,programs/PR/gpctrv01.cbl
GPDEAL01,PR,Premises and Operations Liability,DE,ADD,BUSINESS-LOGIC,GPDEAD01,GPDEC001,programs/PR/gpdeal01.cbl
GPDEAD01,PR,Premises and Operations Liability,DE,ADD,DB2-ACCESS,GPDEAV01,GPDEC001,programs/PR/gpdead01.cbl
GPDEAV01,PR,Premises and Operations Liability,DE,ADD,VSAM-ACCESS,,GPDEC001,programs/PR/gpdeav01.cbl
GPDEIL01,PR,Premises and Operations Liability,DE,INQUIRE,BUSINESS-LOGIC,GPDEID01,GPDEC001,programs/PR/gpdeil01.cbl
GPDEID01,PR,Premises and Operations Liability,DE,INQUIRE,DB2-ACCESS,,GPDEC001,programs/PR/gpdeid01.cbl
GPDEIV01,PR,Premises and Operations Liability,DE,INQUIRE,VSAM-ACCESS,,GPDEC001,programs/PR/gpdeiv01.cbl
GPDEUL01,PR,Premises and Operations Liability,DE,UPDATE,BUSINESS-LOGIC,GPDEUD01,GPDEC001,programs/PR/gpdeul01.cbl
GPDEUD01,PR,Premises and Operations Liability,DE,UPDATE,DB2-ACCESS,GPDEUV01,GPDEC001,programs/PR/gpdeud01.cbl
GPDEUV01,PR,Premises and Operations Liability,DE,UPDATE,VSAM-ACCESS,,GPDEC001,programs/PR/gpdeuv01.cbl
GPDEDL01,PR,Premises and Operations Liability,DE,DELETE,BUSINESS-LOGIC,GPDEDD01,GPDEC001,programs/PR/gpdedl01.cbl
GPDEDD01,PR,Premises and Operations Liability,DE,DELETE,DB2-ACCESS,GPDEDV01,GPDEC001,programs/PR/gpdedd01.cbl
GPDEDV01,PR,Premises and Operations Liability,DE,DELETE,VSAM-ACCESS,,GPDEC001,programs/PR/gpdedv01.cbl
GPDERL01,PR,Premises and Operations Liability,DE,RATE,BUSINESS-LOGIC,GPDERD01,GPDEC001,programs/PR/gpderl01.cbl
GPDERD01,PR,Premises and Operations Liability,DE,RATE,DB2-ACCESS,,GPDEC001,programs/PR/gpderd01.cbl
GPDERV01,PR,Premises and Operations Liability,DE,RATE,VSAM-ACCESS,,GPDEC001,programs/PR/gpderv01.cbl
GPDCAL01,PR,Premises and Operations Liability,DC,ADD,BUSINESS-LOGIC,GPDCAD01,GPDCC001,programs/PR/gpdcal01.cbl
GPDCAD01,PR,Premises and Operations Liability,DC,ADD,DB2-ACCESS,GPDCAV01,GPDCC001,programs/PR/gpdcad01.cbl
GPDCAV01,PR,Premises and Operations Liability,DC,ADD,VSAM-ACCESS,,GPDCC001,programs/PR/gpdcav01.cbl
GPDCIL01,PR,Premises and Operations Liability,DC,INQUIRE,BUSINESS-LOGIC,GPDCID01,GPDCC001,programs/PR/gpdcil01.cbl
GPDCID01,PR,Premises and Operations Liability,DC,INQUIRE,DB2-ACCESS,,GPDCC001,programs/PR/gpdcid01.cbl
GPDCIV01,PR,Premises and Operations Liability,DC,INQUIRE,VSAM-ACCESS,,GPDCC001,programs/PR/gpdciv01.cbl
GPDCUL01,PR,Premises and Operations Liability,DC,UPDATE,BUSINESS-LOGIC,GPDCUD01,GPDCC001,programs/PR/gpdcul01.cbl
GPDCUD01,PR,Premises and Operations Liability,DC,UPDATE,DB2-ACCESS,GPDCUV01,GPDCC001,programs/PR/gpdcud01.cbl
GPDCUV01,PR,Premises and Operations Liability,DC,UPDATE,VSAM-ACCESS,,GPDCC001,programs/PR/gpdcuv01.cbl
GPDCDL01,PR,Premises and Operations Liability,DC,DELETE,BUSINESS-LOGIC,GPDCDD01,GPDCC001,programs/PR/gpdcdl01.cbl
GPDCDD01,PR,Premises and Operations Liability,DC,DELETE,DB2-ACCESS,GPDCDV01,GPDCC001,programs/PR/gpdcdd01.cbl
GPDCDV01,PR,Premises and Operations Liability,DC,DELETE,VSAM-ACCESS,,GPDCC001,programs/PR/gpdcdv01.cbl
GPDCRL01,PR,Premises and Operations Liability,DC,RATE,BUSINESS-LOGIC,GPDCRD01,GPDCC001,programs/PR/gpdcrl01.cbl
GPDCRD01,PR,Premises and Operations Liability,DC,RATE,DB2-ACCESS,,GPDCC001,programs/PR/gpdcrd01.cbl
GPDCRV01,PR,Premises and Operations Liability,DC,RATE,VSAM-ACCESS,,GPDCC001,programs/PR/gpdcrv01.cbl
GPFLAL01,PR,Premises and Operations Liability,FL,ADD,BUSINESS-LOGIC,GPFLAD01,GPFLC001,programs/PR/gpflal01.cbl
GPFLAD01,PR,Premises and Operations Liability,FL,ADD,DB2-ACCESS,GPFLAV01,GPFLC001,programs/PR/gpflad01.cbl
GPFLAV01,PR,Premises and Operations Liability,FL,ADD,VSAM-ACCESS,,GPFLC001,programs/PR/gpflav01.cbl
GPFLIL01,PR,Premises and Operations Liability,FL,INQUIRE,BUSINESS-LOGIC,GPFLID01,GPFLC001,programs/PR/gpflil01.cbl
GPFLID01,PR,Premises and Operations Liability,FL,INQUIRE,DB2-ACCESS,,GPFLC001,programs/PR/gpflid01.cbl
GPFLIV01,PR,Premises and Operations Liability,FL,INQUIRE,VSAM-ACCESS,,GPFLC001,programs/PR/gpfliv01.cbl
GPFLUL01,PR,Premises and Operations Liability,FL,UPDATE,BUSINESS-LOGIC,GPFLUD01,GPFLC001,programs/PR/gpflul01.cbl
GPFLUD01,PR,Premises and Operations Liability,FL,UPDATE,DB2-ACCESS,GPFLUV01,GPFLC001,programs/PR/gpflud01.cbl
GPFLUV01,PR,Premises and Operations Liability,FL,UPDATE,VSAM-ACCESS,,GPFLC001,programs/PR/gpfluv01.cbl
GPFLDL01,PR,Premises and Operations Liability,FL,DELETE,BUSINESS-LOGIC,GPFLDD01,GPFLC001,programs/PR/gpfldl01.cbl
GPFLDD01,PR,Premises and Operations Liability,FL,DELETE,DB2-ACCESS,GPFLDV01,GPFLC001,programs/PR/gpfldd01.cbl
GPFLDV01,PR,Premises and Operations Liability,FL,DELETE,VSAM-ACCESS,,GPFLC001,programs/PR/gpfldv01.cbl
GPFLRL01,PR,Premises and Operations Liability,FL,RATE,BUSINESS-LOGIC,GPFLRD01,GPFLC001,programs/PR/gpflrl01.cbl
GPFLRD01,PR,Premises and Operations Liability,FL,RATE,DB2-ACCESS,,GPFLC001,programs/PR/gpflrd01.cbl
GPFLRV01,PR,Premises and Operations Liability,FL,RATE,VSAM-ACCESS,,GPFLC001,programs/PR/gpflrv01.cbl
GPGAAL01,PR,Premises and Operations Liability,GA,ADD,BUSINESS-LOGIC,GPGAAD01,GPGAC001,programs/PR/gpgaal01.cbl
GPGAAD01,PR,Premises and Operations Liability,GA,ADD,DB2-ACCESS,GPGAAV01,GPGAC001,programs/PR/gpgaad01.cbl
GPGAAV01,PR,Premises and Operations Liability,GA,ADD,VSAM-ACCESS,,GPGAC001,programs/PR/gpgaav01.cbl
GPGAIL01,PR,Premises and Operations Liability,GA,INQUIRE,BUSINESS-LOGIC,GPGAID01,GPGAC001,programs/PR/gpgail01.cbl
GPGAID01,PR,Premises and Operations Liability,GA,INQUIRE,DB2-ACCESS,,GPGAC001,programs/PR/gpgaid01.cbl
GPGAIV01,PR,Premises and Operations Liability,GA,INQUIRE,VSAM-ACCESS,,GPGAC001,programs/PR/gpgaiv01.cbl
GPGAUL01,PR,Premises and Operations Liability,GA,UPDATE,BUSINESS-LOGIC,GPGAUD01,GPGAC001,programs/PR/gpgaul01.cbl
GPGAUD01,PR,Premises and Operations Liability,GA,UPDATE,DB2-ACCESS,GPGAUV01,GPGAC001,programs/PR/gpgaud01.cbl
GPGAUV01,PR,Premises and Operations Liability,GA,UPDATE,VSAM-ACCESS,,GPGAC001,programs/PR/gpgauv01.cbl
GPGADL01,PR,Premises and Operations Liability,GA,DELETE,BUSINESS-LOGIC,GPGADD01,GPGAC001,programs/PR/gpgadl01.cbl
GPGADD01,PR,Premises and Operations Liability,GA,DELETE,DB2-ACCESS,GPGADV01,GPGAC001,programs/PR/gpgadd01.cbl
GPGADV01,PR,Premises and Operations Liability,GA,DELETE,VSAM-ACCESS,,GPGAC001,programs/PR/gpgadv01.cbl
GPGARL01,PR,Premises and Operations Liability,GA,RATE,BUSINESS-LOGIC,GPGARD01,GPGAC001,programs/PR/gpgarl01.cbl
GPGARD01,PR,Premises and Operations Liability,GA,RATE,DB2-ACCESS,,GPGAC001,programs/PR/gpgard01.cbl
GPGARV01,PR,Premises and Operations Liability,GA,RATE,VSAM-ACCESS,,GPGAC001,programs/PR/gpgarv01.cbl
GPHIAL01,PR,Premises and Operations Liability,HI,ADD,BUSINESS-LOGIC,GPHIAD01,GPHIC001,programs/PR/gphial01.cbl
GPHIAD01,PR,Premises and Operations Liability,HI,ADD,DB2-ACCESS,GPHIAV01,GPHIC001,programs/PR/gphiad01.cbl
GPHIAV01,PR,Premises and Operations Liability,HI,ADD,VSAM-ACCESS,,GPHIC001,programs/PR/gphiav01.cbl
GPHIIL01,PR,Premises and Operations Liability,HI,INQUIRE,BUSINESS-LOGIC,GPHIID01,GPHIC001,programs/PR/gphiil01.cbl
GPHIID01,PR,Premises and Operations Liability,HI,INQUIRE,DB2-ACCESS,,GPHIC001,programs/PR/gphiid01.cbl
GPHIIV01,PR,Premises and Operations Liability,HI,INQUIRE,VSAM-ACCESS,,GPHIC001,programs/PR/gphiiv01.cbl
GPHIUL01,PR,Premises and Operations Liability,HI,UPDATE,BUSINESS-LOGIC,GPHIUD01,GPHIC001,programs/PR/gphiul01.cbl
GPHIUD01,PR,Premises and Operations Liability,HI,UPDATE,DB2-ACCESS,GPHIUV01,GPHIC001,programs/PR/gphiud01.cbl
GPHIUV01,PR,Premises and Operations Liability,HI,UPDATE,VSAM-ACCESS,,GPHIC001,programs/PR/gphiuv01.cbl
GPHIDL01,PR,Premises and Operations Liability,HI,DELETE,BUSINESS-LOGIC,GPHIDD01,GPHIC001,programs/PR/gphidl01.cbl
GPHIDD01,PR,Premises and Operations Liability,HI,DELETE,DB2-ACCESS,GPHIDV01,GPHIC001,programs/PR/gphidd01.cbl
GPHIDV01,PR,Premises and Operations Liability,HI,DELETE,VSAM-ACCESS,,GPHIC001,programs/PR/gphidv01.cbl
GPHIRL01,PR,Premises and Operations Liability,HI,RATE,BUSINESS-LOGIC,GPHIRD01,GPHIC001,programs/PR/gphirl01.cbl
GPHIRD01,PR,Premises and Operations Liability,HI,RATE,DB2-ACCESS,,GPHIC001,programs/PR/gphird01.cbl
GPHIRV01,PR,Premises and Operations Liability,HI,RATE,VSAM-ACCESS,,GPHIC001,programs/PR/gphirv01.cbl
GPIDAL01,PR,Premises and Operations Liability,ID,ADD,BUSINESS-LOGIC,GPIDAD01,GPIDC001,programs/PR/gpidal01.cbl
GPIDAD01,PR,Premises and Operations Liability,ID,ADD,DB2-ACCESS,GPIDAV01,GPIDC001,programs/PR/gpidad01.cbl
GPIDAV01,PR,Premises and Operations Liability,ID,ADD,VSAM-ACCESS,,GPIDC001,programs/PR/gpidav01.cbl
GPIDIL01,PR,Premises and Operations Liability,ID,INQUIRE,BUSINESS-LOGIC,GPIDID01,GPIDC001,programs/PR/gpidil01.cbl
GPIDID01,PR,Premises and Operations Liability,ID,INQUIRE,DB2-ACCESS,,GPIDC001,programs/PR/gpidid01.cbl
GPIDIV01,PR,Premises and Operations Liability,ID,INQUIRE,VSAM-ACCESS,,GPIDC001,programs/PR/gpidiv01.cbl
GPIDUL01,PR,Premises and Operations Liability,ID,UPDATE,BUSINESS-LOGIC,GPIDUD01,GPIDC001,programs/PR/gpidul01.cbl
GPIDUD01,PR,Premises and Operations Liability,ID,UPDATE,DB2-ACCESS,GPIDUV01,GPIDC001,programs/PR/gpidud01.cbl
GPIDUV01,PR,Premises and Operations Liability,ID,UPDATE,VSAM-ACCESS,,GPIDC001,programs/PR/gpiduv01.cbl
GPIDDL01,PR,Premises and Operations Liability,ID,DELETE,BUSINESS-LOGIC,GPIDDD01,GPIDC001,programs/PR/gpiddl01.cbl
GPIDDD01,PR,Premises and Operations Liability,ID,DELETE,DB2-ACCESS,GPIDDV01,GPIDC001,programs/PR/gpiddd01.cbl
GPIDDV01,PR,Premises and Operations Liability,ID,DELETE,VSAM-ACCESS,,GPIDC001,programs/PR/gpiddv01.cbl
GPIDRL01,PR,Premises and Operations Liability,ID,RATE,BUSINESS-LOGIC,GPIDRD01,GPIDC001,programs/PR/gpidrl01.cbl
GPIDRD01,PR,Premises and Operations Liability,ID,RATE,DB2-ACCESS,,GPIDC001,programs/PR/gpidrd01.cbl
GPIDRV01,PR,Premises and Operations Liability,ID,RATE,VSAM-ACCESS,,GPIDC001,programs/PR/gpidrv01.cbl
GPILAL01,PR,Premises and Operations Liability,IL,ADD,BUSINESS-LOGIC,GPILAD01,GPILC001,programs/PR/gpilal01.cbl
GPILAD01,PR,Premises and Operations Liability,IL,ADD,DB2-ACCESS,GPILAV01,GPILC001,programs/PR/gpilad01.cbl
GPILAV01,PR,Premises and Operations Liability,IL,ADD,VSAM-ACCESS,,GPILC001,programs/PR/gpilav01.cbl
GPILIL01,PR,Premises and Operations Liability,IL,INQUIRE,BUSINESS-LOGIC,GPILID01,GPILC001,programs/PR/gpilil01.cbl
GPILID01,PR,Premises and Operations Liability,IL,INQUIRE,DB2-ACCESS,,GPILC001,programs/PR/gpilid01.cbl
GPILIV01,PR,Premises and Operations Liability,IL,INQUIRE,VSAM-ACCESS,,GPILC001,programs/PR/gpiliv01.cbl
